127.0.0.1 - - [20/Feb/2023:20:40:44 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:56 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:56 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:56 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:56 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:57 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4858
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:57 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:57 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:57 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:57 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:57 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4869
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:59 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:59 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:59 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:59 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:59 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:59 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:00 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:00 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:00 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:00 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:00 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4869
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:00 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:01 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:01 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:01 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:01 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:01 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:01 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity= HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:05 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:07 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8224
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:09 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:10 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8218
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:44:12 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8220
